A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
747,31Dec1983,1597,4058
748,31Jan1984,1793,2034
749,29Feb1984,2645,1392
750,31Mar1984,2786,2228
751,30Apr1984,6526,5002
752,31May1984,12934,6169
753,30Jun1984,15920,8800
754,31Jul1984,17816,8936
755,31Aug1984,13854,8332
756,30Sep1984,6589,7280
757,31Oct1984,3950,6183
758,30Nov1984,2532,5998
759,31Dec1984,1690,4386
760,31Jan1985,1628,1144
761,28Feb1985,2555,502
762,31Mar1985,2292,859
763,30Apr1985,5550,5060
764,31May1985,12077,6318
765,30Jun1985,15814,8902
766,31Jul1985,16569,9064
767,31Aug1985,12913,4468
768,30Sep1985,5692,4775
769,31Oct1985,3968,5445
770,30Nov1985,2545,7165
771,31Dec1985,1488,8506
772,31Jan1986,1337,380
773,28Feb1986,2304,69
774,31Mar1986,2299,2036
775,30Apr1986,5427,4573
776,31May1986,12227,6147
777,30Jun1986,16497,8616
778,31Jul1986,18259,8854
779,31Aug1986,14736,8268
780,30Sep1986,6095,6562
781,31Oct1986,4501,6807
782,30Nov1986,3224,6513
783,31Dec1986,1772,4709
784,31Jan1987,1581,673
785,28Feb1987,2639,169
786,31Mar1987,1635,802
787,30Apr1987,4394,3127
788,31May1987,9745,4166
789,30Jun1987,12288,5590
790,31Jul1987,12451,5719
791,31Aug1987,9864,5014
792,30Sep1987,5148,3996
793,31Oct1987,3425,3238
794,30Nov1987,2246,3774
795,31Dec1987,971,3279
796,31Jan1988,856,518
797,29Feb1988,1616,133
798,31Mar1988,2218,517
799,30Apr1988,3975,1400
800,31May1988,8688,1552
801,30Jun1988,11307,2249
802,31Jul1988,11835,2316
803,31Aug1988,9555,1958
804,30Sep1988,5048,1597
805,31Oct1988,3565,2532
806,30Nov1988,2184,2312
807,31Dec1988,1052,1757
808,31Jan1989,952,714
809,28Feb1989,1709,91
810,31Mar1989,1604,713
811,30Apr1989,4652,4814
812,31May1989,10773,6440
813,30Jun1989,13389,8352
814,31Jul1989,14131,8790
815,31Aug1989,11079,6853
816,30Sep1989,4201,3867
817,31Oct1989,3225,4459
818,30Nov1989,2473,4404
819,31Dec1989,1392,3499
820,31Jan1990,989,484
821,28Feb1990,1847,148
822,31Mar1990,1816,303
823,30Apr1990,4588,3027
824,31May1990,7307,2248
825,30Jun1990,11568,3984
826,31Jul1990,11589,3958
827,31Aug1990,9194,3319
828,30Sep1990,4897,2654
829,31Oct1990,3459,3065
830,30Nov1990,2387,2890
831,31Dec1990,1146,1999
832,31Jan1991,910,869
833,28Feb1991,1625,83
834,31Mar1991,1166,589
835,30Apr1991,2743,1967
836,31May1991,6997,2712
837,30Jun1991,9873,3807
838,31Jul1991,10476,4146
839,31Aug1991,8387,3670
840,30Sep1991,4165,2913
841,31Oct1991,2664,3710
842,30Nov1991,1914,3741
843,31Dec1991,917,2520
844,31Jan1992,746,582
845,29Feb1992,1358,66
846,31Mar1992,1126,415
847,30Apr1992,3418,2252
848,31May1992,8789,3706
849,30Jun1992,10335,4365
850,31Jul1992,11030,4705
851,31Aug1992,8889,4001
852,30Sep1992,4453,3126
853,31Oct1992,2466,1518
854,30Nov1992,1930,1198
855,31Dec1992,832,928
856,31Jan1993,749,156
857,28Feb1993,1404,846
858,31Mar1993,2401,1974
859,30Apr1993,5478,4227
860,31May1993,10370,5466
861,30Jun1993,14974,7887
862,31Jul1993,17407,8714
863,31Aug1993,13788,7937
864,30Sep1993,6693,6753
865,31Oct1993,4095,6145
